isbn,book_title,category,rental_price,status,author,publisher
978-2-382-62818-2,"Universal Bandwidth-Monitored Forecast",Biography,8.09,no,"Sarah Sullivan","Penguin Books"
978-2-397-15513-4,"Team-Oriented Client-Server Analyzer",Romance,2.79,no,"Jason Turner",Macmillan
978-2-407-68079-5,"Ameliorated Intangible Policy",Children,9.29,yes,"Natalie Wilson","Simon & Schuster"
978-2-410-11383-0,"Assimilated Even-Keeled Success","Science Fiction",10.15,yes,"Joseph Kennedy",Hachette
978-2-438-83380-6,"Automated Scalable Analyzer","Literary Fiction",4.32,no,"Justin Benton","Random House"
978-2-450-74248-5,"Open-Source 3Rdgeneration Methodology",Thriller,3.88,no,"Edwin Johnson","Penguin Books"
978-2-451-39912-5,"Multi-Channeled Explicit Artificial Intelligence",Dystopia,8.53,yes,"Janet Hughes",Doubleday
978-2-461-47274-7,"Face-To-Face Leadingedge Help-Desk",Mystery,8.19,yes,"Donald Cooper",Knopf
978-2-467-48769-3,"Team-Oriented Multi-Tasking Solution",Self-Help,11.99,yes,"Jocelyn Wheeler",Vintage
978-2-470-88908-1,"Exclusive Fresh-Thinking Frame",Self-Help,4.3,yes,"Holly Velazquez",HarperCollins
978-2-482-28528-8,"Secured Intangible Pricing Structure",Fantasy,6.18,yes,"Robin Rosales",Doubleday
978-2-484-96034-9,"Innovative Web-Enabled Orchestration",Thriller,11.67,yes,"Lori Bass","Random House"
978-2-488-10282-6,"Enterprise-Wide Methodical Concept",Children,11.27,no,"Spencer Byrd",Macmillan
978-2-489-79806-3,"Devolved Zero-Defect Adapter","Science Fiction",7.59,yes,"Jessica Patel",HarperCollins
978-2-524-95841-1,"Progressive Tertiary Customer Loyalty","Literary Fiction",8.16,yes,"John Wilson","Penguin Books"
978-2-550-18950-7,"Up-Sized Mobile Benchmark","Literary Fiction",8.31,yes,"Michael Scott",Doubleday
978-2-556-30869-2,"Object-Based Reciprocal Core",Biography,11.49,yes,"Nicole Glover",Vintage
978-2-564-87373-3,"Progressive Mission-Critical Help-Desk","Literary Fiction",2.9,yes,"Joseph Elliott","Random House"
978-2-565-76770-6,"Function-Based Context-Sensitive Contingency","Science Fiction",10.2,no,"Thomas Phillips",Hachette
978-2-574-94685-7,"Persistent Bottom-Line Policy",Classic,9.23,yes,"James Mcintyre","Random House"
978-2-582-88675-6,"Customer-Focused Zero Administration Groupware",Classic,2.64,yes,"Jennifer Brewer",Hachette
978-2-584-11276-2,"Polarized Cohesive Throughput",Fantasy,7,yes,"Rachel Gordon",Vintage
978-2-592-83308-3,"Triple-Buffered Directional Productivity","Literary Fiction",5.95,yes,"Kenneth Herrera",Knopf
978-2-599-85527-1,"Fundamental Tertiary Internet Solution",Biography,8.42,yes,"Tiffany Gilbert",Doubleday
978-2-601-21539-2,"Ergonomic Transitional Strategy",Biography,6.34,no,"Scott Contreras",Scholastic
978-2-601-47858-2,"Multi-Lateral User-Facing Projection",Mystery,5.15,no,"Richard Hess",Doubleday
978-2-603-94513-3,"Re-Engineered Multi-Tasking Internet Solution",Fiction,3.19,yes,"Robert Payne",Vintage
978-2-610-65567-3,"Cross-Group Mobile Functionalities",Fantasy,9.01,yes,"Daniel Owen",Hachette
978-2-611-21980-9,"Configurable 6Thgeneration Task-Force",Dystopia,11.31,yes,"Robert Myers","Penguin Books"
978-2-617-71510-7,"Progressive Object-Oriented Process Improvement",Mystery,2.75,no,"Thomas Pope",Hachette
978-2-629-41496-0,"Synergized Neutral Info-Mediaries",Thriller,10.57,no,"James Horton",Hachette
978-2-631-37176-8,"Quality-Focused System-Worthy Support",Dystopia,11.98,no,"Brian Watson",Knopf
978-2-642-58096-6,"Function-Based Eco-Centric Budgetary Management",Dystopia,8.5,yes,"Victoria Long",HarperCollins
978-2-650-61518-8,"Digitized 6Thgeneration Architecture",Mystery,9.28,yes,"Amanda Frazier","Penguin Books"
978-2-651-35746-4,"Reduced Fault-Tolerant Solution",Romance,10.86,yes,"Jennifer Arnold",HarperCollins
978-2-669-70570-9,"Managed User-Facing Orchestration",Thriller,11.15,yes,"Courtney Garcia","Random House"
978-2-687-10665-6,"Optional Mission-Critical Budgetary Management",Fiction,2.4,no,"Mark Warren",Knopf
978-2-706-86106-2,"Distributed Needs-Based Product",Mystery,8.59,yes,"Michael Hudson",Doubleday
978-2-742-70374-8,"Proactive Mobile Encoding",Dystopia,6.62,no,"David Martinez","Penguin Books"
978-2-744-15529-8,"Integrated Executive Website","Science Fiction",3.22,no,"Wesley Carson",Macmillan
978-2-751-21629-5,"Open-Architected Heuristic Methodology","Literary Fiction",2.11,yes,"Elizabeth Robinson","Simon & Schuster"
978-2-755-96154-6,"Future-Proofed 24/7 Secured Line",Fantasy,2.29,yes,"Katherine Pollard",Vintage
978-2-759-15535-7,"Enhanced Zero Administration Focus Group",Thriller,2.2,yes,"Olivia Solomon",Hachette
978-2-765-49566-2,"Devolved Mission-Critical Solution",Children,2.93,yes,"Christopher Gomez",Macmillan
978-2-771-84035-2,"Proactive Modular Methodology",Dystopia,2.68,yes,"Tracy Blake","Random House"
978-2-795-68972-5,"Adaptive Logistical Architecture",Dystopia,6.44,yes,"Vanessa Powell",Doubleday
978-2-796-53992-1,"Operative Asymmetric Knowledgebase",History,5.55,yes,"Sharon Thompson",Scholastic
978-2-796-86791-6,"Profit-Focused Object-Oriented Collaboration",Classic,9.72,yes,"Samantha Beck","Simon & Schuster"
978-2-803-72163-1,"Innovative Multimedia Pricing Structure",Classic,10.32,yes,"Samantha Brown",Scholastic
978-2-808-85832-2,"Public-Key Background Ability",Romance,10.15,yes,"David Olson DDS",Scholastic
978-2-810-49251-0,"Synchronized Exuding Collaboration",Fiction,5.24,yes,"Cody Marshall",Macmillan
978-2-811-97590-0,"Persevering Logistical Support",Fantasy,7.83,yes,"Stephen Moreno",Macmillan
978-2-812-17686-2,"Self-Enabling Zero-Defect Solution",Classic,6.16,no,"Jasmine Williams",Doubleday
978-2-838-13336-7,"Team-Oriented Content-Based Definition",Children,4.59,no,"John Jones",Scholastic
978-2-859-65176-8,"Enterprise-Wide Analyzing Info-Mediaries",Classic,9.46,no,"Mark Madden",Vintage
978-2-872-90981-0,"Mandatory Even-Keeled Solution",Self-Help,2.82,no,"Steven Jenkins",Scholastic
978-2-884-94085-6,"Front-Line Asymmetric Synergy",Dystopia,11.93,no,"Natalie Riley",Vintage
978-2-905-84000-3,"Versatile Real-Time Implementation",Classic,10.3,yes,"Angelica Peters",Doubleday
978-2-908-44079-3,"Polarized Content-Based Approach","Literary Fiction",5.72,yes,"Ebony Ramirez","Penguin Books"
978-2-911-33644-8,"Mandatory System-Worthy Parallelism",Fantasy,7.05,yes,"Daniel Trujillo",Knopf
978-2-911-50319-9,"Digitized Attitude-Oriented Analyzer",Romance,10.24,yes,"Kelsey Arnold",Vintage
978-2-912-57381-8,"Public-Key Scalable Functionalities",History,3.21,yes,"Barbara Martinez","Random House"
978-2-920-70901-8,"Re-Contextualized National Artificial Intelligence","Science Fiction",7.95,no,"Samantha Martinez",Doubleday
978-2-930-27675-1,"Extended Actuating Policy",Romance,9.76,no,"Elizabeth Morales","Penguin Books"
978-2-936-67925-9,"Exclusive Reciprocal Projection","Science Fiction",9.64,yes,"Janet Montgomery","Random House"
978-2-954-87994-4,"Open-Architected Full-Range Firmware",Dystopia,11.11,yes,"Gary Edwards",HarperCollins
978-2-974-14250-9,"Horizontal Heuristic Hierarchy",Biography,4.98,yes,"Rachel Trevino","Penguin Books"
978-2-975-75619-9,"Object-Based Tangible Contingency",History,7.05,yes,"Jenny Strong",HarperCollins
978-2-978-14635-8,"Team-Oriented Foreground Methodology",Thriller,11.14,no,"Dennis Carter","Simon & Schuster"
978-2-995-63131-2,"Persistent Disintermediate Task-Force",Thriller,10.72,no,"Steven Morrison","Penguin Books"
978-3-102-11671-1,"Configurable Hybrid Budgetary Management",Classic,10.35,no,"Robert Kennedy","Random House"
978-3-103-60387-7,"Upgradable Neutral Algorithm",Classic,7.67,yes,"Theresa Yang",Hachette
978-3-103-91600-4,"Seamless Modular Neural-Net",Fiction,6.59,no,"Chloe Mcfarland",Knopf
978-3-111-93967-3,"Compatible Needs-Based Interface",Romance,4.82,yes,"Brian Phelps",Macmillan
978-3-120-79002-7,"Intuitive Coherent Utilization",Fiction,5.32,yes,"Bonnie Cochran","Random House"
978-3-133-69827-0,"Progressive Maximized Migration",Dystopia,9.05,yes,"Timothy Lopez",Hachette
978-3-144-26762-9,"Operative Directional Strategy",Biography,3.61,yes,"Sara Hebert",Doubleday
978-3-173-14833-2,"Programmable Empowering Matrices","Literary Fiction",8.54,no,"Kaylee Campbell",Doubleday
978-3-177-87607-3,"Re-Engineered Bifurcated Hierarchy",Classic,8.97,yes,"Isabella Bryant",Doubleday
978-3-180-70174-7,"Cross-Group Full-Range Emulation",Thriller,7.73,yes,"Wayne Robinson",Vintage
978-3-188-66948-1,"Open-Source Grid-Enabled Paradigm","Literary Fiction",8.12,yes,"Lindsey Forbes",Macmillan
978-3-196-22704-6,"Team-Oriented Eco-Centric Application",Dystopia,6.24,no,"Annette Houston","Penguin Books"
978-3-247-24000-2,"Horizontal Tangible Circuit",History,11.7,no,"Angela Thomas",Scholastic
978-3-254-10835-6,"Face-To-Face Regional Strategy",Fiction,4.33,yes,"Gabriella Price","Penguin Books"
978-3-256-16621-6,"Business-Focused Coherent Circuit","Literary Fiction",9.53,yes,"Angela Floyd","Simon & Schuster"
978-3-270-62041-1,"Business-Focused 5Thgeneration Firmware",Classic,2.64,no,"John Valdez",Knopf
978-3-270-63269-7,"Seamless Dynamic Structure","Literary Fiction",4.14,no,"Mary Mercado","Penguin Books"
978-3-278-90024-0,"Proactive Mission-Critical Task-Force",Biography,3.8,no,"Samantha Soto",Doubleday
978-3-280-77889-7,"Stand-Alone Grid-Enabled Info-Mediaries",Fiction,7.57,yes,"James Avila",Vintage
978-3-288-78236-1,"Assimilated Multimedia Workforce",Thriller,7.05,no,"Casey Thomas",Knopf
978-3-290-65675-9,"Configurable Systematic Policy",Fiction,7.78,yes,"Heather Bryant",Knopf
978-3-294-63645-8,"Inverse Exuding Local Area Network",Romance,11.26,yes,"Paul Anderson",Macmillan
978-3-329-27197-3,"Devolved Motivating Knowledgebase",Romance,2.22,yes,"Donald Martinez",HarperCollins
978-3-329-28837-9,"Devolved Actuating Matrix",Children,11.13,no,"Kathryn Nichols","Random House"
978-3-336-13418-5,"Robust Multi-State Open System",Classic,8.88,no,"Karen Norman","Random House"
978-3-340-41726-4,"Right-Sized Methodical Project",History,4.29,yes,"Bobby Spears",Doubleday
978-3-359-82447-6,"Re-Contextualized Explicit Conglomeration",Children,8.39,yes,"Samuel Robinson",HarperCollins
978-3-372-79951-0,"Secured Homogeneous Info-Mediaries",Thriller,11.96,yes,"Jacob Alvarez",Doubleday
978-3-373-30866-1,"Synchronized Tangible Benchmark",Fantasy,10.72,no,"Mr. Bobby Martin","Simon & Schuster"
978-3-373-81987-2,"Sharable Client-Driven Application",Children,6.38,no,"John Williams",HarperCollins
978-3-379-67125-7,"Self-Enabling Context-Sensitive Synergy",Fiction,5.89,no,"Timothy Long","Random House"
978-3-383-16955-3,"Inverse Stable Parallelism",Classic,9.97,no,"Ryan Osborn",Vintage
978-3-403-39816-5,"Progressive Explicit Standardization",Mystery,5.02,yes,"Sarah Galloway",Macmillan
978-3-407-28920-7,"Cross-Group 24/7 Frame",Fiction,7.62,no,"Nancy Wallace",Knopf
978-3-433-59290-4,"Triple-Buffered Exuding System Engine",Thriller,5.93,yes,"Robert Leonard PhD",Doubleday
978-3-438-46458-0,"Proactive Maximized Methodology","Science Fiction",4.23,no,"Joseph Huang",Scholastic
978-3-443-26673-0,"Quality-Focused Methodical Frame",Romance,7.69,yes,"Brent Dennis","Random House"
978-3-450-65082-4,"Front-Line 3Rdgeneration Strategy",Thriller,9.99,yes,"Allison Duncan",Vintage
978-3-455-20048-4,"Diverse Scalable Flexibility","Science Fiction",10.04,no,"Wendy Bass",Knopf
978-3-469-16827-3,"Multi-Tiered Interactive Info-Mediaries",Classic,4.36,no,"Victor Ross",Hachette
978-3-473-70619-2,"Phased Contextually-Based Superstructure",History,3.5,yes,"Anthony Lee",Scholastic
978-3-494-68059-3,"Synergistic Web-Enabled Open Architecture",Romance,11.95,yes,"Michael Turner",Vintage
978-3-504-88554-0,"Ergonomic Background Frame",Fiction,4.04,yes,"Summer Bender","Random House"
978-3-514-41890-4,"Sharable Directional Knowledge User",Self-Help,7.82,no,"Edward James",Knopf
978-3-523-49387-4,"Proactive Motivating Groupware",Fiction,7.57,yes,"Karen Porter",Scholastic
978-3-540-69186-3,"Fully-Configurable Clear-Thinking Graphical User Interface",Fantasy,5.39,no,"Holly Decker",Scholastic
978-3-540-86019-9,"Ameliorated Hybrid Analyzer",Self-Help,5.22,no,"Marcia Peterson",Vintage
978-3-548-48185-1,"Vision-Oriented Value-Added Focus Group",Thriller,9.95,no,"Billy Lopez","Random House"
978-3-575-58270-9,"Object-Based Even-Keeled Leverage","Literary Fiction",11.98,yes,"Linda Gonzalez",Knopf
978-3-576-43586-5,"Monitored 24Hour Circuit",Mystery,8.06,yes,"Lisa Phillips","Random House"
978-3-577-26059-4,"Streamlined Multi-Tasking Complexity","Literary Fiction",4.48,yes,"Ian Allison","Penguin Books"
978-3-586-90120-1,"Persistent Tertiary Hierarchy","Literary Fiction",6.14,yes,"William Jones",Scholastic
978-3-587-49171-1,"Down-Sized Empowering Graphical User Interface",Fantasy,11.03,yes,"Jennifer Schultz",Knopf
978-3-596-33699-8,"Multi-Lateral Value-Added Workforce",Fiction,5.43,yes,"Amber Delacruz","Random House"
978-3-608-93288-1,"Pre-Emptive Explicit Challenge","Science Fiction",4.14,yes,"Robert Stephens","Penguin Books"
978-3-612-25704-6,"Grass-Roots Actuating Emulation","Science Fiction",4.98,yes,"Michael Zimmerman","Random House"
978-3-623-72021-2,"Mandatory Neutral Success",Self-Help,2.85,yes,"Cheryl Fernandez",HarperCollins
978-3-626-39825-6,"Devolved 6Thgeneration Internet Solution",Classic,9.61,yes,"Jacob Hill",HarperCollins
978-3-638-96098-3,"Pre-Emptive Human-Resource Standardization",Biography,8.25,yes,"Sabrina Hughes",Knopf
978-3-649-68800-2,"Phased Composite Challenge",Fantasy,3.83,no,"Stacy Kennedy","Simon & Schuster"
978-3-701-28899-6,"Enhanced Maximized Function",Classic,4.99,yes,"Natalie Wall",Doubleday
978-3-706-81516-2,"Distributed Local Policy",Self-Help,9.68,yes,"Daniel Lopez",Vintage
978-3-713-93634-1,"Innovative 5Thgeneration Collaboration",Romance,11.58,yes,"Barbara Adams",Doubleday
978-3-739-48086-5,"Synergistic Zero Tolerance Framework",Self-Help,3.33,yes,"Eric Smith",Knopf
978-3-743-27643-0,"Public-Key Next Generation Strategy",Classic,9.38,yes,"Daniel Ramos",Vintage
978-3-743-29840-6,"Cross-Group National Project",Biography,8.87,yes,"Theresa Jones",HarperCollins
978-3-745-81258-0,"Stand-Alone Impactful Time-Frame",Fantasy,9.82,yes,"Sarah Garcia DVM",Vintage
978-3-750-82199-4,"Enhanced Eco-Centric Initiative",Mystery,8.25,yes,"Peter Small",Knopf
978-3-773-97122-5,"Synergized Solution-Oriented Instruction Set",Mystery,8.47,yes,"Ariel Johnson",Doubleday
978-3-785-51180-3,"Secured Exuding Access",Children,5.96,yes,"Laura Gates",Vintage
978-3-788-50687-3,"Multi-Layered Intangible Forecast",Thriller,3.99,yes,"Michelle Mcfarland","Penguin Books"
978-3-798-42706-1,"Quality-Focused User-Facing Analyzer",Dystopia,9.8,no,"David Stuart",Doubleday
978-3-802-80075-7,"Stand-Alone Executive Infrastructure",Self-Help,5.58,yes,"Scott Tucker","Random House"
978-3-807-72402-7,"Customer-Focused Mobile Forecast","Literary Fiction",9.93,yes,"Allen Molina",Macmillan
978-3-811-99881-0,"Phased Multimedia Interface",Children,6.21,yes,"Nicholas Phillips",Knopf
978-3-813-39603-4,"Managed Clear-Thinking Info-Mediaries",Self-Help,10.28,yes,"Christopher Goodman","Penguin Books"
978-3-865-98716-5,"Ergonomic Fault-Tolerant Moratorium",History,9.79,yes,"Angela Brown","Simon & Schuster"
978-3-868-85584-2,"Proactive Demand-Driven Throughput",Fiction,7.26,no,"Joanne Mills",Vintage
978-3-871-80932-0,"Persevering Leadingedge Hardware",Dystopia,10.14,yes,"James Bishop",Doubleday
978-3-884-92317-2,"Cross-Group Bi-Directional Moratorium",Thriller,2.95,yes,"Anna James",Knopf
978-3-896-44471-8,"Open-Source Real-Time Hardware",History,5.58,no,"Rachel Moore",Macmillan
978-3-909-74752-0,"Polarized Executive Concept",Dystopia,7.54,yes,"Eric Thomas",Vintage
978-3-918-90649-6,"Synchronized Dedicated Monitoring",Fantasy,2.45,yes,"Bryce Gross",Knopf
978-3-923-87015-8,"Digitized Grid-Enabled Analyzer",History,6.79,yes,"Michael Harris",Macmillan
978-3-926-95701-8,"Exclusive Radical Emulation","Literary Fiction",11.4,yes,"Victor Black",Doubleday
978-3-932-40539-5,"Robust 4Thgeneration Architecture",Thriller,3.48,yes,"Nicholas Gonzales Jr.",Macmillan
978-3-933-43330-7,"Pre-Emptive Dedicated Architecture",Self-Help,2.96,yes,"Rebecca Thompson",Macmillan
978-3-936-70332-5,"Cloned 5Thgeneration Moratorium",Children,10.21,yes,"Deborah Sanders","Simon & Schuster"
978-3-943-62505-5,"Face-To-Face Regional Contingency",Self-Help,8.3,yes,"Jonathan Chavez",Doubleday
978-3-950-21359-4,"Implemented Fault-Tolerant Infrastructure","Literary Fiction",4.44,no,"Daniel Ewing",Doubleday
978-3-977-39012-3,"Upgradable Well-Modulated Extranet",Self-Help,4.07,no,"Wanda Ray",Knopf
978-4-117-75826-6,"Stand-Alone Secondary Parallelism",Thriller,11.4,yes,"Mary Miller",HarperCollins
978-4-129-25544-3,"Persistent Bandwidth-Monitored Definition",Mystery,10.57,yes,"Madison Carr","Simon & Schuster"
978-4-129-33647-4,"Monitored 3Rdgeneration Software",Romance,9.62,yes,"Thomas Ward",Hachette
978-4-162-92483-7,"Future-Proofed Bi-Directional Frame",Biography,3.69,yes,"Timothy Roberts",Macmillan
978-4-163-58394-8,"User-Friendly Tangible Open System",Fiction,2.01,yes,"Tina Ward",HarperCollins
978-4-175-60639-8,"Cross-Group Bifurcated Encryption","Literary Fiction",9.64,yes,"Victoria Pope",Doubleday
978-4-195-62288-5,"Monitored User-Facing Workforce",Classic,7.55,yes,"Rebecca Gibson",Vintage
978-4-204-27367-1,"Balanced Static Secured Line",Mystery,6.31,no,"Mia Kelley",HarperCollins
978-4-210-85849-0,"Virtual Cohesive Help-Desk",Children,7.76,no,"Bradley Anderson",Scholastic
978-4-213-93478-7,"Quality-Focused Systemic Benchmark",Biography,6.53,no,"Jennifer Russell","Simon & Schuster"
978-4-228-37504-2,"Multi-Channeled Maximized Adapter",Classic,6.25,yes,"Jay Werner",HarperCollins
978-4-228-67464-0,"Automated Needs-Based Implementation",History,2.9,yes,"Melinda Taylor",Vintage
978-4-235-90713-4,"Profound Explicit Open Architecture",Children,10.58,yes,"Monica Simmons",HarperCollins
978-4-248-79526-6,"Switchable Secondary Contingency",Fiction,4.89,no,"Lindsey Cooper",Scholastic
978-4-265-70199-9,"Cross-Group Fault-Tolerant Hardware",Romance,7.84,no,"Rachel Smith",Vintage
978-4-286-32984-2,"Grass-Roots Well-Modulated Hub",Mystery,4.38,yes,"Barbara Mays",Hachette
978-4-306-15741-3,"Mandatory Non-Volatile Interface",Fiction,5.16,yes,"William Fuentes",Knopf
978-4-310-77862-9,"Ergonomic Uniform Encryption","Science Fiction",3.89,no,"Christopher Saunders",Macmillan
978-4-320-15220-0,"Organized Eco-Centric Open System",Thriller,5.98,yes,"Paul Brewer",Knopf
978-4-330-29884-5,"Organic Bandwidth-Monitored Ability",Fantasy,8.57,yes,"Mary Hill",Scholastic
978-4-330-80465-4,"Front-Line Systematic Methodology",Mystery,9.81,no,"Christine Villegas",Knopf
978-4-332-21846-6,"Open-Architected Motivating Frame",Classic,9.6,yes,"Jenna Murphy",Vintage
978-4-343-22571-0,"Future-Proofed Human-Resource Solution",Fantasy,7.72,no,"Charles Sampson","Random House"
978-4-347-43119-2,"Multi-Layered Radical Attitude",Romance,6.23,no,"Brian Jackson",HarperCollins
978-4-356-83680-9,"Front-Line Didactic Conglomeration",Fiction,5.98,yes,"Cassandra Nielsen","Penguin Books"
978-4-357-35307-0,"Front-Line Responsive Customer Loyalty",Fiction,8.19,yes,"David Stephens",Doubleday
978-4-357-40217-1,"Realigned Contextually-Based Core",Romance,3.93,yes,"Jordan Brennan",Knopf
978-4-396-53007-1,"Versatile Reciprocal Forecast",Fiction,6.97,no,"Alejandra Mcdonald","Random House"
978-4-401-71204-1,"Vision-Oriented Responsive Forecast",Self-Help,6.53,yes,"James Lopez",Scholastic
978-4-407-93958-7,"Pre-Emptive Asymmetric Interface",Classic,8.54,yes,"Jessica Williams",Scholastic
978-4-413-68447-9,"Extended Web-Enabled Graphical User Interface",Romance,6.26,no,"Mary Austin",Hachette
978-4-437-79081-6,"Innovative Coherent Graphical User Interface","Science Fiction",4.1,yes,"Jose Sanders",Doubleday
978-4-451-69681-3,"Quality-Focused Homogeneous Attitude","Science Fiction",6.83,no,"Taylor Moore",HarperCollins
978-4-460-23579-9,"Streamlined Even-Keeled Infrastructure","Science Fiction",4.13,no,"Robert Tyler","Simon & Schuster"
978-4-468-98705-5,"Programmable Asymmetric Access",Fantasy,9.39,yes,"Samuel Pierce","Penguin Books"
978-4-469-64986-5,"Synchronized Holistic Adapter",Fiction,4.9,yes,"Richard Grant",Knopf
978-4-493-90658-6,"Grass-Roots National Middleware",History,11.63,yes,"Jennifer Dean",Hachette
978-4-510-17234-1,"Realigned Radical Toolset",Dystopia,7.35,yes,"Anna Duncan",HarperCollins
978-4-515-19123-9,"Re-Engineered Background Project",Classic,8.86,no,"Brian Perez",Hachette
978-4-520-81587-9,"Profound Methodical Data-Warehouse",Dystopia,2.33,yes,"Michael Allen",Doubleday
978-4-522-39170-3,"Synergistic Systematic Archive",Thriller,4.05,yes,"Luis Reeves",Vintage
978-4-545-55123-1,"Multi-Layered Encompassing Secured Line",Biography,2.08,no,"Scott Escobar","Random House"
978-4-550-20155-4,"Open-Source 6Thgeneration Initiative",History,4.72,yes,"Jennifer Parker",Knopf
978-4-550-70956-4,"Business-Focused Context-Sensitive Complexity",History,10.37,yes,"Matthew Wright","Random House"
978-4-553-93472-4,"Ergonomic Clear-Thinking Focus Group",Mystery,9.79,yes,"Bobby Anthony","Random House"
978-4-569-94323-0,"Advanced Global Flexibility",Fiction,11.99,no,"Phillip Dickerson",Scholastic
978-4-572-31821-6,"Implemented Cohesive Functionalities",Children,8.13,yes,"Scott Bridges",Knopf
978-4-580-80136-0,"Assimilated Stable Website",Romance,11.22,no,"Meagan Martinez",Macmillan
978-4-602-85061-8,"Cross-Group Fault-Tolerant Solution",Dystopia,2.73,yes,"Diana Cook",Knopf
978-4-605-83306-7,"Managed Local Firmware",History,2.27,yes,"Tara Martinez","Random House"
978-4-609-13037-1,"Programmable System-Worthy Forecast",Fantasy,7.05,yes,"Christopher Hernandez","Simon & Schuster"
978-4-618-82088-5,"Visionary Upward-Trending System Engine",Thriller,2.06,yes,"Sarah Byrd",Hachette
978-4-621-45838-6,"Upgradable Fault-Tolerant Data-Warehouse","Literary Fiction",11.8,yes,"Brittney Fuentes",Vintage
978-4-636-15397-5,"Pre-Emptive Background Info-Mediaries","Science Fiction",7.65,yes,"Karen Roth",Knopf
978-4-655-74237-3,"Centralized Real-Time Adapter",Biography,3.87,yes,"Mark Miller",Hachette
978-4-686-45041-8,"Polarized Global Help-Desk",Self-Help,10.15,yes,"Jose Woodard",Scholastic
978-4-687-62694-3,"Innovative Actuating Installation",Biography,9.43,yes,"Bradley Hernandez",Doubleday
978-4-691-55135-6,"Exclusive Executive Local Area Network",Romance,3.38,yes,"Crystal Hall","Simon & Schuster"
978-4-698-59941-5,"Secured Optimizing Architecture",Classic,8.75,no,"Mark Spencer","Penguin Books"
978-4-718-30550-9,"Pre-Emptive Eco-Centric Throughput",Mystery,7.78,yes,"Lynn Miller",HarperCollins
978-4-719-53160-7,"User-Friendly Radical Internet Solution","Science Fiction",3.32,yes,"Rodney Wolfe",Doubleday
978-4-725-35679-3,"Pre-Emptive Even-Keeled Conglomeration",Classic,11.3,no,"Carl Serrano","Simon & Schuster"
978-4-737-89381-2,"Organic Intangible Time-Frame",Fantasy,10.31,yes,"Michelle Davila",Knopf
978-4-753-79824-9,"Up-Sized Cohesive Installation",Thriller,11.07,yes,"Anna Hoffman",Knopf
978-4-754-65615-4,"Virtual Context-Sensitive Array","Literary Fiction",10.45,yes,"Anthony Woodward",Scholastic
978-4-755-52616-4,"Devolved Demand-Driven Circuit",Children,8.56,yes,"Amanda Costa","Simon & Schuster"
978-4-761-17754-1,"Pre-Emptive Radical Synergy",Self-Help,7.74,yes,"Laura Briggs","Random House"
978-4-767-35232-5,"Open-Architected Systemic Pricing Structure","Science Fiction",2.82,yes,"Jennifer Howard","Random House"
978-4-777-75260-7,"Future-Proofed Executive Encryption","Science Fiction",4.62,yes,"Thomas Martinez",Knopf
978-4-779-23577-2,"Synergistic Transitional Contingency",Children,3.15,yes,"Susan Carr",Knopf
978-4-786-74157-8,"Diverse Intermediate Function",Self-Help,5.13,no,"Mark Richards",Doubleday
978-4-793-81643-2,"Triple-Buffered Incremental Intranet",Classic,6.42,yes,"Douglas Hodge",Doubleday
978-4-803-68190-3,"Multi-Layered Zero Tolerance Solution","Science Fiction",6.07,no,"Tiffany Tate","Simon & Schuster"
978-4-803-88804-3,"Extended Contextually-Based Paradigm",Fantasy,4.38,yes,"Steven Phillips","Simon & Schuster"
978-4-812-61131-1,"Operative Human-Resource Internet Solution",Self-Help,8.89,no,"Katie Galvan",HarperCollins
978-4-820-68493-3,"Centralized Transitional Budgetary Management",Biography,4.86,no,"Nathan Hawkins","Simon & Schuster"
978-4-821-37168-7,"Synergistic Didactic Knowledge User",Dystopia,6.8,yes,"Benjamin Hamilton",Macmillan
978-4-851-48602-2,"Assimilated Client-Server Concept",Mystery,9.29,no,"Cassie Turner",Doubleday
978-4-863-54500-3,"Versatile Upward-Trending Superstructure",Dystopia,9.79,yes,"Dawn Nelson",Knopf
978-4-866-21847-4,"Compatible Uniform Solution",Fiction,5.87,yes,"Sandra Peterson",Doubleday
978-4-868-31094-4,"Configurable Cohesive Moderator",Self-Help,4.51,yes,"Kimberly Coleman",Macmillan
978-4-869-42406-4,"Customer-Focused Interactive Success",Thriller,9.78,no,"Diamond Reeves","Simon & Schuster"
978-4-873-25203-0,"Progressive Needs-Based Ability",Mystery,6.64,no,"Christina Morgan",Macmillan
978-4-891-64387-5,"Innovative Multi-Tasking Database",Thriller,7.08,yes,"Steven Frazier",Macmillan
978-4-896-60052-8,"Seamless Asynchronous Portal","Science Fiction",6.19,yes,"Kimberly Golden","Simon & Schuster"
978-4-902-69054-7,"Universal Exuding Paradigm",History,5.56,no,"Michelle Holland",Scholastic
978-4-914-62022-1,"Expanded 3Rdgeneration Moderator",Dystopia,11.59,no,"Kristin Short",Doubleday
978-4-923-40907-8,"Networked Zero Tolerance Contingency",Fantasy,10.56,yes,"Jason Ali","Random House"
978-4-931-18127-4,"Cloned 24/7 Moderator",Fantasy,10.9,yes,"Brittany Ochoa",Knopf
978-4-939-44517-8,"Advanced Encompassing Capacity",Dystopia,6.54,no,"Amanda Benjamin","Random House"
978-4-957-86931-9,"Devolved Discrete Ability",Self-Help,6.9,yes,"Steven Jenkins",Vintage
978-4-971-51288-6,"Monitored Optimizing Focus Group",Romance,10.32,yes,"Elizabeth Tucker",Hachette
